measure,quantile,infections,cancers,group,n_ranked,n_infections,n_cancers,cancers_unattributed_frac,spearman_theta_vs_rships,spearman_theta_vs_rship_rate,Seed
downstream_gen0,0.1,0.24663227387973008,0.3062650190356089,all,441687,2184099856.2021484,554077.8549804688,0.23675130002389855,0.26858394216035364,0.4581476703374831,3
downstream_gen1,0.1,0.44283684087901176,0.46515036445463603,all,441687,2184099856.2021484,554077.8549804688,0.23675130002389855,0.26858394216035364,0.4581476703374831,3
downstream_gen2,0.1,0.5608670271910613,0.5800080461200536,all,441687,2184099856.2021484,554077.8549804688,0.23675130002389855,0.26858394216035364,0.4581476703374831,3
downstream_gen3,0.1,0.6502299965082857,0.6434557761150562,all,441687,2184099856.2021484,554077.8549804688,0.23675130002389855,0.26858394216035364,0.4581476703374831,3
downstream_gen0,0.2,0.37405727954040546,0.4342245930535568,all,441687,2184099856.2021484,554077.8549804688,0.23675130002389855,0.26858394216035364,0.4581476703374831,3
downstream_gen1,0.2,0.6151022581257066,0.633679234461003,all,441687,2184099856.2021484,554077.8549804688,0.23675130002389855,0.26858394216035364,0.4581476703374831,3
downstream_gen2,0.2,0.7344289924451034,0.7436818962262892,all,441687,2184099856.2021484,554077.8549804688,0.23675130002389855,0.26858394216035364,0.4581476703374831,3
downstream_gen3,0.2,0.8116210221849209,0.7966215045690975,all,441687,2184099856.2021484,554077.8549804688,0.23675130002389855,0.26858394216035364,0.4581476703374831,3
gini,,0.10352941883328493,,all,441687,2184099856.2021484,554077.8549804688,0.23675130002389855,0.26858394216035364,0.4581476703374831,3
direct,0.01,0.06166816451234699,0.08735262593783494,all,442476,2198067628.2373047,552924.6976776123,0.24065316545510626,0.26675882767382186,0.45669142772434423,4
direct,0.02,0.09432488974327591,0.12734458735262594,all,442476,2198067628.2373047,552924.6976776123,0.24065316545510626,0.26675882767382186,0.45669142772434423,4
direct,0.05,0.16307088509570108,0.2033092175777063,all,442476,2198067628.2373047,552924.6976776123,0.24065316545510626,0.26675882767382186,0.45669142772434423,4
direct,0.1,0.24786861954481013,0.2944801714898178,all,442476,2198067628.2373047,552924.6976776123,0.24065316545510626,0.26675882767382186,0.45669142772434423,4
direct,0.2,0.37553764430796144,0.4270498392282958,all,442476,2198067628.2373047,552924.6976776123,0.24065316545510626,0.26675882767382186,0.45669142772434423,4
direct,0.5,0.6514489418019268,0.6935289389067524,all,442476,2198067628.2373047,552924.6976776123,0.24065316545510626,0.26675882767382186,0.45669142772434423,4
downstream_gen0,0.01,0.061077272187982895,0.08688371859691876,all,442476,2198067628.2373047,552924.6976776123,0.24065316545510626,0.26675882767382186,0.45669142772434423,4
downstream_gen1,0.01,0.12400370044719683,0.1374598253874328,all,442476,2198067628.2373047,552924.6976776123,0.24065316545510626,0.26675882767382186,0.45669142772434423,4
downstream_gen2,0.01,0.17289953170965358,0.19245715662961954,all,442476,2198067628.2373047,552924.6976776123,0.24065316545510626,0.26675882767382186,0.45669142772434423,4
downstream_gen3,0.01,0.2183763303787829,0.22420957588724838,all,442476,2198067628.2373047,552924.6976776123,0.24065316545510626,0.26675882767382186,0.45669142772434423,4
downstream_gen0,0.02,0.09399061471822333,0.12680869762804253,all,442476,2198067628.2373047,552924.6976776123,0.24065316545510626,0.26675882767382186,0.45669142772434423,4
downstream_gen1,0.02,0.1863042403188436,0.2033762377640971,all,442476,2198067628.2373047,552924.6976776123,0.24065316545510626,0.26675882767382186,0.45669142772434423,4
downstream_gen2,0.02,0.25455226557496013,0.27733123915507063,all,442476,2198067628.2373047,552924.6976776123,0.24065316545510626,0.26675882767382186,0.45669142772434423,4
downstream_gen3,0.02,0.31607677219586366,0.31973478527261473,all,442476,2198067628.2373047,552924.6976776123,0.24065316545510626,0.26675882767382186,0.45669142772434423,4
downstream_gen0,0.05,0.16188490348106113,0.20163454266586456,all,442476,2198067628.2373047,552924.6976776123,0.24065316545510626,0.26675882767382186,0.45669142772434423,4
downstream_gen1,0.05,0.30547639208280025,0.32161045145711487,all,442476,2198067628.2373047,552924.6976776123,0.24065316545510626,0.26675882767382186,0.45669142772434423,4
downstream_gen2,0.05,0.4037250400359876,0.42001614692980715,all,442476,2198067628.2373047,552924.6976776123,0.24065316545510626,0.26675882767382186,0.45669142772434423,4
downstream_gen3,0.05,0.48525379715821115,0.48003758516357703,all,442476,2198067628.2373047,552924.6976776123,0.24065316545510626,0.26675882767382186,0.45669142772434423,4
downstream_gen0,0.1,0.24682267345093628,0.29347539979671483,all,442476,2198067628.2373047,552924.6976776123,0.24065316545510626,0.26675882767382186,0.45669142772434423,4
downstream_gen1,0.1,0.4399551131401301,0.4559888127175897,all,442476,2198067628.2373047,552924.6976776123,0.24065316545510626,0.26675882767382186,0.45669142772434423,4
downstream_gen2,0.1,0.5578311265221314,0.5705386548219217,all,442476,2198067628.2373047,552924.6976776123,0.24065316545510626,0.26675882767382186,0.45669142772434423,4
downstream_gen3,0.1,0.6467890701918122,0.6379287956204039,all,442476,2198067628.2373047,552924.6976776123,0.24065316545510626,0.26675882767382186,0.45669142772434423,4
downstream_gen0,0.2,0.37507179011495495,0.42658098808818706,all,442476,2198067628.2373047,552924.6976776123,0.24065316545510626,0.26675882767382186,0.45669142772434423,4
downstream_gen1,0.2,0.615028005431901,0.6297562324307212,all,442476,2198067628.2373047,552924.6976776123,0.24065316545510626,0.26675882767382186,0.45669142772434423,4
downstream_gen2,0.2,0.7355862765671437,0.7412246085273748,all,442476,2198067628.2373047,552924.6976776123,0.24065316545510626,0.26675882767382186,0.45669142772434423,4
downstream_gen3,0.2,0.8125839025295555,0.7997053114677327,all,442476,2198067628.2373047,552924.6976776123,0.24065316545510626,0.26675882767382186,0.45669142772434423,4
